Numero de aluno;Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (Dropout);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (Dropout);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
98727;Single;2nd phase—general contingent;5;2;Daytime;1;1;13;10;6;10;Yes;No;No;1;Male;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout
82513;Single;International student (bachelor);1;11;Daytime;1;1;1;3;4;4;Yes;No;No;0;Male;0;19;0;0;6;6;6;14.0;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;Graduate
18923;Single;1st phase—general contingent;5;5;Daytime;1;1;22;27;10;10;Yes;No;No;0;Male;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;Dropout
29244;Single;2nd phase—general contingent;2;15;Daytime;1;1;23;27;6;4;Yes;No;No;1;Female;0;20;0;0;6;8;6;13.428571428571429;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;Graduate
74184;Married;Over 23 years old;1;3;Evening;1;1;22;28;10;10;No;No;No;1;Female;0;45;0;0;6;9;5;12.333333333333334;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;Graduate
59622;Married;Over 23 years old;1;17;Evening;12;1;22;27;10;8;No;No;Yes;1;Male;0;50;0;0;5;10;5;11.857142857142858;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;Graduate
43763;Single;1st phase—general contingent;1;12;Daytime;1;1;13;28;8;11;Yes;No;No;1;Female;1;18;0;0;7;9;7;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;Graduate
40620;Single;3rd phase—general contingent;4;11;Daytime;1;1;22;27;10;10;Yes;No;No;0;Male;0;22;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;Dropout
87390;Single;1st phase—general contingent;3;10;Daytime;1;15;1;1;10;10;No;No;No;1;Female;1;21;1;0;6;8;6;13.875;0;0;6;7;6;14.142857142857142;0;16.2;0.3;-0.92;Graduate
84172;Single;1st phase—general contingent;1;10;Daytime;1;1;1;14;5;8;Yes;No;Yes;0;Female;0;18;0;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;Dropout
42340;Single;1st phase—general contingent;1;14;Daytime;1;1;23;14;6;8;Yes;No;No;1;Female;0;18;0;0;6;6;6;12.333333333333334;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;Graduate
30284;Single;1st phase—general contingent;1;12;Daytime;1;1;13;28;10;10;Yes;No;No;1;Female;1;18;0;0;8;8;7;13.214285714285714;0;0;8;8;7;13.214285714285714;0;12.7;3.7;-1.7;Graduate
31762;Single;1st phase—general contingent;2;16;Daytime;1;1;13;27;5;10;Yes;No;No;1;Female;0;19;0;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;Dropout
1743;Single;Short cycle diploma holders;1;11;Daytime;16;1;1;1;5;8;Yes;No;No;1;Female;1;21;0;0;6;7;6;10.571428571428571;0;0;6;8;5;11.0;0;8.9;1.4;3.51;Graduate
70959;Single;1st phase—general contingent;1;6;Daytime;1;1;23;27;6;6;Yes;No;No;1;Female;1;18;0;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;Graduate
1515;Single;1st phase—general contingent;1;15;Daytime;1;1;13;27;10;4;Yes;No;No;1;Female;0;20;0;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;Dropout
79127;Single;3rd phase—general contingent;1;10;Daytime;1;1;13;28;6;9;Yes;No;No;1;Female;0;18;0;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;Dropout
43393;Single;2nd phase—general contingent;2;12;Daytime;1;1;13;1;6;5;Yes;No;No;1;Female;0;18;0;0;7;8;7;13.30625;0;0;8;8;8;14.545;0;15.5;2.8;-4.06;Graduate
89067;Single;1st phase—general contingent;1;8;Daytime;1;1;3;14;4;6;Yes;No;No;1;Female;0;20;0;0;5;8;4;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74;Graduate
85359;Single;1st phase—general contingent;1;16;Daytime;1;1;13;14;8;8;Yes;No;No;1;Female;0;18;0;0;7;7;6;11.666666666666666;0;0;7;8;6;13.5;0;16.2;0.3;-0.92;Dropout
3578;Single;1st phase—general contingent;3;2;Daytime;1;1;1;1;10;9;No;No;No;1;Female;1;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02;Graduate
