Numero de aluno,Application order,Course,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (Dropout),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (Dropout),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Marital status_Divorced,Marital status_Legally separated,Marital status_Married,Marital status_Single,Marital status_Widower,Application mode_1st phase—general contingent,Application mode_1st phase—special contingent (Azores Island),Application mode_1st phase—special contingent (Madeira Island),Application mode_2nd phase—general contingent,Application mode_3rd phase—general contingent,Application mode_Change in course,Application mode_Change in institution/course,Application mode_Change in institution/course (International),Application mode_Holders of other higher courses,Application mode_International student (bachelor),"Application mode_Ordinance No. 533-A/99, item b2) (Different Plan)","Application mode_Ordinance No. 533-A/99, item b3 (Other Institution)",Application mode_Ordinance No. 612/93,Application mode_Ordinance No. 854-B/99,Application mode_Over 23 years old,Application mode_Short cycle diploma holders,Application mode_Transfer,Daytime/evening attendance_Evening,Displaced_Yes,Educational special needs_Yes,Debtor_Yes,Gender_Male
98727,5,2,1,1,13,10,6,10,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
82513,1,11,1,1,1,3,4,4,0,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
18923,5,5,1,1,22,27,10,10,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29244,2,15,1,1,23,27,6,4,1,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74184,1,3,1,1,22,28,10,10,1,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
59622,1,17,12,1,22,27,10,8,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
43763,1,12,1,1,13,28,8,11,1,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40620,4,11,1,1,22,27,10,10,0,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
87390,3,10,1,15,1,1,10,10,1,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84172,1,10,1,1,1,14,5,8,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
