Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
Single,1st phase—general contingent,5,Communication Design,Daytime,1.0,1,22.0,27.0,10.0,10,Yes,No,No,0,Male,0.0,19.0,0.0,0.0,6.0,0.0,0,0.0,0,0,6,0.0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,2nd phase—general contingent,2,Journalism and Communication,Daytime,1.0,1,23.0,27.0,6.0,4,Yes,No,No,1,Female,0.0,20.0,0.0,0.0,6.0,8.0,6,13.428571428571429,0,0,6,10.0,5,12.4,0,9.4,-0.8,-3.12,Graduate
Married,Over 23 years old,1,Social Service (evening attendance),Evening,1.0,1,22.0,28.0,10.0,10,No,No,No,1,Female,0.0,45.0,0.0,0.0,6.0,9.0,5,12.333333333333334,0,0,6,6.0,6,13.0,0,13.9,-0.3,0.79,Graduate
Married,Over 23 years old,1,Management (evening attendance),Evening,12.0,1,22.0,27.0,10.0,8,No,No,Yes,1,Male,0.0,50.0,0.0,0.0,5.0,10.0,5,11.857142857142858,0,0,5,17.0,5,11.5,5,16.2,0.3,-0.92,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,1.0,1,13.0,28.0,8.0,11,Yes,No,No,1,Female,1.0,18.0,0.0,0.0,7.0,9.0,7,13.3,0,0,8,8.0,8,14.345,0,15.5,2.8,-4.06,Graduate
Single,3rd phase—general contingent,4,Tourism,Daytime,1.0,1,22.0,27.0,10.0,10,Yes,No,No,0,Male,0.0,22.0,0.0,0.0,5.0,5.0,0,0.0,0,0,5,5.0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,1st phase—general contingent,1,Social Service,Daytime,1.0,1,1.0,14.0,5.0,8,Yes,No,Yes,0,Female,0.0,18.0,0.0,0.0,6.0,9.0,5,11.4,0,0,6,14.0,2,13.5,0,8.9,1.4,3.51,Dropout
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,1.0,1,23.0,14.0,6.0,8,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,6.0,6.0,6,12.333333333333334,0,0,6,7.0,5,14.2,0,13.9,-0.3,0.79,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,1.0,1,13.0,28.0,10.0,10,Yes,No,No,1,Female,1.0,18.0,0.0,0.0,8.0,8.0,7,13.214285714285714,0,0,8,8.0,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
Single,Short cycle diploma holders,1,Tourism,Daytime,16.0,1,1.0,1.0,5.0,8,Yes,No,No,1,Female,1.0,21.0,0.0,0.0,6.0,7.0,6,10.571428571428571,0,0,6,8.0,5,11.0,0,8.9,1.4,3.51,Graduate
